Feature,Gain,Cover,Frequency
`Omics Absolute CN Gene Public 24Q4 LIFR`,3.6461647225106e-05,0.00286327845382964,0.00292397660818713
`Expression Public 25Q3 MDM4`,2.93061616550234e-05,0.005249343832021,0.00511695906432749
`Expression Public 25Q3 ANGPTL4`,2.83273546162878e-05,0.00334049152946791,0.00365497076023392
`Expression Public 25Q3 MYCN`,2.81752182099507e-05,0.00123280044539887,0.00146198830409357
`Omics Absolute CN Gene Public 24Q4 EWSR1`,2.67433781131706e-05,0.000516980831941462,0.000730994152046784
`Omics Absolute CN Gene Public 24Q4 CD28`,2.62152283155028e-05,0.00566690527320449,0.00511695906432749
`Expression Public 25Q3 TNFRSF14`,2.59873044843672e-05,0.00395689175216734,0.00511695906432749
`Expression Public 25Q3 SMAD3`,2.53219961581057e-05,0.00226676210928179,0.00292397660818713
`Omics Absolute CN Gene Public 24Q4 SMARCE1`,2.43739269619762e-05,0.00103396166388292,0.000730994152046784
`Omics Absolute CN Gene Public 24Q4 RUNX2`,2.36860495111916e-05,0.00176966515549193,0.00146198830409357
`Expression Public 25Q3 CTNNBIP1`,2.30582222554334e-05,0.00439433707150243,0.0043859649122807
`Omics Absolute CN Gene Public 24Q4 USP6`,2.26990692073547e-05,0.000576632466396246,0.00146198830409357
`Expression Public 25Q3 DNMT1`,2.248571402233e-05,0.00109361329833771,0.00146198830409357
`Expression Public 25Q3 FOS`,2.18399010363309e-05,0.0011333810546409,0.00146198830409357
`Omics Absolute CN Gene Public 24Q4 MYC`,2.14599044571121e-05,0.000835122882366977,0.00146198830409357
`Expression Public 25Q3 MRE11`,2.05180260261762e-05,0.00121291656724728,0.00146198830409357
`Expression Public 25Q3 DNMT3B`,2.03399943515489e-05,0.00143163922691482,0.00219298245614035
`Expression Public 25Q3 MITF`,2.01600097326317e-05,0.000616400222699435,0.000730994152046784
`Expression Public 25Q3 SMAD7`,1.99271410192721e-05,0.00314165274795196,0.00365497076023392
`Expression Public 25Q3 PLCG2`,1.82113919305445e-05,0.000815239004215382,0.000730994152046784
`Expression Public 25Q3 APCDD1`,1.75403782332755e-05,0.00200827169331106,0.00219298245614035
`Expression Public 25Q3 FANCG`,1.73503083281305e-05,0.00210769108406904,0.00219298245614035
`Omics Absolute CN Gene Public 24Q4 TBL1XR1`,1.69698479530617e-05,0.00103396166388292,0.000730994152046784
`Omics Absolute CN Gene Public 24Q4 NFKB2`,1.61011890184315e-05,0.000815239004215382,0.00146198830409357
`Expression Public 25Q3 MAPK10`,1.58296024456353e-05,0.00280362681937485,0.00365497076023392
`Expression Public 25Q3 SOCS2`,1.47042711576981e-05,0.00280362681937485,0.00292397660818713
`Omics Absolute CN Gene Public 24Q4 EED`,1.46339140093097e-05,0.000357909806728704,0.000730994152046784
`Omics Absolute CN Gene Public 24Q4 RAC1`,1.43318351328867e-05,0.00342002704207429,0.00292397660818713
`Omics Absolute CN Gene Public 24Q4 HLA-C`,1.41105272131404e-05,0.00238606537819136,0.00219298245614035
`Expression Public 25Q3 RELB`,1.38561249586385e-05,0.000656167979002625,0.000730994152046784
`Omics Absolute CN Gene Public 24Q4 BTRC`,1.35538710220172e-05,0.00029825817227392,0.000730994152046784
`Expression Public 25Q3 MAFB`,1.14901534130734e-05,0.000536864710093057,0.000730994152046784
`Expression Public 25Q3 JAK2`,1.08984272078139e-05,0.00210769108406904,0.00292397660818713
`Omics Absolute CN Gene Public 24Q4 TERT`,1.07368739269151e-05,0.000397677563031894,0.000730994152046784
`Expression Public 25Q3 PIK3R3`,9.80516717555166e-06,0.00252525252525253,0.00292397660818713
`Omics Absolute CN Gene Public 24Q4 CD40`,9.79294024378125e-06,0.000218722659667542,0.000730994152046784
`Expression Public 25Q3 SHC2`,9.7913124112882e-06,0.0018889684244015,0.00219298245614035
